,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u_slope_raw_gpt2_surprisal[25],0.018,0.797,-1.413,1.591,0.007,0.01,11546.35,5969.385,1.001
u_slope_raw_gpt2_surprisal[26],1.005,0.738,-0.331,2.443,0.008,0.009,9243.497,5529.863,1.0
u_slope_raw_gpt2_surprisal[27],0.101,0.87,-1.516,1.747,0.008,0.01,11737.335,6389.288,1.0
u_slope_raw_gpt2_surprisal[28],-0.553,0.782,-2.042,0.867,0.007,0.01,13381.83,6199.035,1.0
u_slope_raw_gpt2_surprisal[29],-0.09,0.793,-1.582,1.392,0.007,0.01,11227.427,5624.532,1.001
u_slope_raw_gpt2_surprisal[30],0.135,0.804,-1.311,1.668,0.007,0.011,11624.763,5510.924,1.001
u_slope_raw_gpt2_surprisal[31],-0.132,0.782,-1.601,1.327,0.007,0.01,11646.705,5773.625,1.0
u_slope_raw_gpt2_surprisal[32],-0.27,0.788,-1.732,1.232,0.008,0.01,9856.884,5433.78,1.0
u_slope_raw_gpt2_surprisal[33],-0.314,0.807,-1.927,1.153,0.008,0.01,9905.699,5864.861,1.001
u_slope_raw_gpt2_surprisal[34],0.199,0.816,-1.391,1.647,0.008,0.01,10958.845,5678.348,1.001
u_slope_raw_gpt2_surprisal[35],0.525,0.653,-0.687,1.795,0.006,0.008,11272.545,6305.385,1.0
u_slope_raw_gpt2_surprisal[36],-0.017,0.799,-1.535,1.41,0.008,0.009,9979.526,5446.525,1.0
u_slope_raw_gpt2_surprisal[37],-0.03,0.761,-1.424,1.418,0.008,0.009,10033.807,5981.966,1.001
u_slope_raw_gpt2_surprisal[38],-0.15,0.785,-1.585,1.383,0.008,0.009,8705.563,5150.835,1.001
u_slope_raw_gpt2_surprisal[39],0.267,0.828,-1.292,1.812,0.008,0.01,11030.806,5501.643,1.001
u_slope_raw_gpt2_surprisal[40],-0.147,1.004,-2.072,1.683,0.009,0.012,11760.403,6008.299,1.0
u_slope_raw_gpt2_surprisal[41],-0.546,0.796,-2.041,0.92,0.007,0.009,12284.646,5871.233,1.001
u_slope_raw_gpt2_surprisal[42],-0.274,0.786,-1.776,1.218,0.007,0.01,11317.775,5221.931,1.0
u_slope_raw_gpt2_surprisal[43],0.428,0.841,-1.154,1.996,0.008,0.01,10886.973,5288.636,1.0
u_slope_raw_gpt2_surprisal[44],-0.435,0.789,-1.937,0.995,0.007,0.009,11755.575,6194.411,1.001
u_slope_raw_gpt2_surprisal[45],-0.38,0.772,-1.836,1.059,0.008,0.009,9778.358,6313.72,1.001
u_slope_raw_gpt2_surprisal[46],-0.405,0.807,-1.961,1.079,0.007,0.009,12497.656,5822.316,1.001
u_slope_raw_gpt2_surprisal[47],0.254,0.808,-1.264,1.755,0.008,0.01,10674.919,5740.72,1.001
u_slope_raw_gpt2_surprisal[48],-0.384,0.75,-1.791,1.035,0.007,0.008,12312.279,5773.015,1.0
u_slope_raw_gpt2_surprisal[49],-0.296,0.769,-1.682,1.191,0.008,0.01,10010.984,5107.099,1.001
u_slope_raw_gpt2_surprisal[50],-0.971,0.788,-2.507,0.451,0.008,0.009,10795.599,5833.367,1.0
u_slope_raw_gpt2_surprisal[51],-0.177,0.699,-1.542,1.106,0.007,0.008,10342.878,5645.776,1.001
u_slope_raw_gpt2_surprisal[52],0.245,0.812,-1.249,1.788,0.008,0.01,9964.035,5406.541,1.0
u_slope_raw_gpt2_surprisal[53],0.874,0.709,-0.454,2.197,0.008,0.008,8139.438,5932.86,1.0
u_slope_raw_gpt2_surprisal[54],-0.039,0.922,-1.764,1.7,0.009,0.011,10376.868,5978.585,1.0
u_slope_raw_gpt2_surprisal[55],-0.595,0.802,-2.102,0.895,0.007,0.011,11628.682,5971.085,1.0
u_slope_raw_gpt2_surprisal[56],-0.167,0.751,-1.585,1.237,0.007,0.009,10809.504,5771.083,1.001
u_slope_raw_gpt2_surprisal[57],2.025,0.759,0.641,3.501,0.007,0.01,12402.706,5783.498,1.0
u_slope_raw_gpt2_surprisal[58],0.269,0.968,-1.516,2.21,0.009,0.012,12204.669,6000.248,1.0
u_slope_raw_gpt2_surprisal[59],-0.427,0.784,-1.909,1.008,0.008,0.009,9266.755,5850.335,1.001
u_slope_raw_gpt2_surprisal[60],-1.216,0.775,-2.699,0.203,0.008,0.01,9786.65,5739.345,1.002
u_slope_raw_gpt2_surprisal[61],-0.059,1.025,-2.019,1.844,0.01,0.013,11237.377,6089.933,1.0
u_slope_raw_gpt2_surprisal[62],-0.082,0.819,-1.523,1.563,0.008,0.009,9392.375,5658.029,1.0
u_slope_raw_gpt2_surprisal[63],-0.179,0.806,-1.677,1.383,0.007,0.01,12141.762,5697.816,1.0
u_slope_raw_gpt2_surprisal[64],-0.25,0.847,-1.859,1.31,0.008,0.01,10993.946,5461.499,1.003
u_slope_raw_gpt2_surprisal[65],-0.605,0.81,-2.14,0.906,0.008,0.009,10086.639,5951.669,1.002
u_slope_raw_gpt2_surprisal[66],1.228,0.778,-0.295,2.61,0.007,0.01,11952.085,5455.206,1.001
u_slope_raw_gpt2_surprisal[67],0.178,0.782,-1.244,1.695,0.008,0.009,10868.528,5603.358,1.0
u_slope_raw_gpt2_surprisal[68],0.348,0.644,-0.899,1.513,0.006,0.008,10747.944,5530.69,1.002
u_slope_raw_gpt2_surprisal[69],-0.2,0.932,-2.045,1.42,0.009,0.011,11738.607,6322.119,1.0
u_slope_raw_gpt2_surprisal[70],-0.489,0.839,-2.04,1.068,0.008,0.011,12261.809,5296.61,1.0
u_slope_raw_gpt2_surprisal[71],-0.387,0.742,-1.866,0.918,0.007,0.01,10328.537,5396.279,1.0
u_slope_raw_gpt2_surprisal[72],-0.296,0.817,-1.813,1.257,0.008,0.01,11397.05,5785.33,1.0
u_slope_raw_gpt2_surprisal[73],0.196,0.69,-1.06,1.516,0.007,0.008,9485.873,5804.35,1.0
u_slope_raw_gpt2_surprisal[74],-0.017,0.672,-1.303,1.254,0.006,0.009,11069.373,5431.287,1.001
u_slope_raw_gpt2_surprisal[75],-0.266,0.861,-1.923,1.304,0.007,0.011,13719.62,5922.883,1.001
u_slope_raw_gpt2_surprisal[76],0.212,0.803,-1.42,1.632,0.008,0.009,9419.343,5984.413,1.0
u_slope_raw_gpt2_surprisal[77],0.491,0.784,-1.026,1.906,0.008,0.01,10783.751,5842.863,1.0
u_slope_raw_gpt2_surprisal[78],0.258,0.844,-1.414,1.787,0.007,0.011,13461.966,5738.549,1.0
u_slope_raw_gpt2_surprisal[79],0.34,0.822,-1.185,1.899,0.008,0.01,11471.502,5532.088,1.0
u_slope_raw_gpt2_surprisal[80],0.88,0.729,-0.488,2.251,0.007,0.008,10632.205,6204.25,1.0
u_slope_raw_gpt2_surprisal[81],0.18,0.809,-1.381,1.642,0.007,0.01,13997.551,6249.348,1.002
u_slope_raw_gpt2_surprisal[82],-0.311,0.787,-1.752,1.242,0.007,0.01,12412.79,5963.888,1.0
u_slope_raw_gpt2_surprisal[83],-0.265,0.655,-1.564,0.894,0.006,0.008,11312.16,6044.459,1.0
u_slope_raw_gpt2_surprisal[84],0.707,0.63,-0.446,1.934,0.006,0.008,11154.582,5683.574,1.001
u_slope_raw_gpt2_surprisal[85],0.097,0.738,-1.296,1.458,0.007,0.009,10864.514,6191.83,1.001
u_slope_raw_gpt2_surprisal[86],0.105,0.77,-1.37,1.501,0.007,0.009,10564.455,5962.757,1.002
