layer,head,rho,pvalue,n_arcs
7,7,0.27221252260114076,0.0,498200
6,8,0.2679439307074049,0.0,498200
8,2,-0.26576028587041045,0.0,498200
11,2,-0.26484756176854596,0.0,498200
2,8,0.2643990072792398,0.0,498200
7,8,0.2608788018572544,0.0,498200
10,8,0.2600252741998337,0.0,498200
2,6,0.2589353997384793,0.0,498200
10,7,0.2561299695780223,0.0,498200
3,4,-0.24919025330326464,0.0,498200
7,0,-0.2473845842138391,0.0,498200
11,8,0.24695097326922258,0.0,498200
3,0,-0.24591912320491902,0.0,498200
11,0,-0.2411624400817329,0.0,498200
4,8,0.23874976696784445,0.0,498200
9,8,0.23714851049372107,0.0,498200
3,6,0.23624166745174985,0.0,498200
5,0,-0.23340198181264832,0.0,498200
10,11,0.22494769723417707,0.0,498200
8,4,-0.22022740656708362,0.0,498200
5,8,0.2179496605247763,0.0,498200
3,11,0.21764142493995875,0.0,498200
8,8,0.21416894662348246,0.0,498200
8,1,0.21300612286978404,0.0,498200
4,4,-0.21184206443382486,0.0,498200
5,7,0.21119577618830362,0.0,498200
9,11,0.20862490864980793,0.0,498200
9,2,-0.20796821686435352,0.0,498200
6,4,-0.20531022525444523,0.0,498200
8,11,0.2025059846883111,0.0,498200
1,0,-0.2022649975481018,0.0,498200
6,2,-0.1966995678927138,0.0,498200
2,0,-0.19245280998999342,0.0,498200
9,7,0.18909545645954404,0.0,498200
7,1,0.18814213127770033,0.0,498200
10,3,-0.1848357029377934,0.0,498200
6,0,-0.18341249626220352,0.0,498200
0,4,-0.1754297014967763,0.0,498200
8,3,-0.16512546234915904,0.0,498200
11,4,-0.16506760224697956,0.0,498200
4,1,0.16146591462796403,0.0,498200
0,1,0.16144317119336712,0.0,498200
5,4,-0.15913746580781102,0.0,498200
11,5,-0.1474250833319256,0.0,498200
5,1,0.1429919686402241,0.0,498200
11,3,-0.137547037526773,0.0,498200
7,11,0.13615141243536147,0.0,498200
2,4,-0.13334907842533814,0.0,498200
11,1,0.13327787652166256,0.0,498200
10,4,-0.1304721963295477,0.0,498200
2,1,0.12626300709599886,0.0,498200
9,6,0.12402180156864939,0.0,498200
1,3,-0.11933258063189967,0.0,498200
3,1,0.118475263115423,0.0,498200
10,1,0.11811618242135445,0.0,498200
10,0,-0.117613140614831,0.0,498200
1,1,0.10917827002109641,0.0,498200
6,3,-0.10230607728850127,0.0,498200
7,3,0.09903489218085167,0.0,498200
9,1,0.0965226836885212,0.0,498200
1,4,-0.09175963102131783,0.0,498200
5,11,-0.07810800981765118,0.0,498200
8,6,0.07602571477598852,0.0,498200
5,3,-0.07292061091443376,0.0,498200
9,3,0.06628342698968609,0.0,498200
4,0,-0.06550007707925426,0.0,498200
9,4,-0.06291646213482191,0.0,498200
2,3,-0.06063883426348501,0.0,498200
6,1,0.056862200343507745,0.0,498200
3,3,0.05503018899100586,0.0,498200
6,11,-0.052705070944737455,2.520071679212529e-303,498200
11,11,0.05073950873955962,2.97357308167331e-281,498200
4,11,0.038783199035279485,4.173855996041128e-165,498200
10,6,0.0342130868877664,6.499913171361251e-129,498200
4,3,-0.02405496031748225,1.131577455033158e-64,498200
0,3,0.00860807754709955,1.2324725006248354e-09,498200
