,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[111],1.597,0.122,1.361,1.811,0.013,0.005,91.457,329.251,1.031
u0_raw[112],-0.755,0.115,-0.962,-0.528,0.011,0.004,119.41,426.789,1.024
u0_raw[113],0.734,0.103,0.541,0.926,0.012,0.003,78.145,169.07,1.033
u0_raw[114],0.671,0.101,0.479,0.856,0.012,0.003,74.381,232.142,1.034
u0_raw[115],1.814,0.135,1.559,2.062,0.013,0.005,103.415,364.246,1.027
u0_raw[116],0.107,0.095,-0.071,0.283,0.011,0.004,70.943,160.805,1.038
u0_raw[117],1.189,0.108,0.988,1.385,0.013,0.004,72.989,256.8,1.036
u0_raw[118],0.544,0.101,0.356,0.735,0.011,0.004,79.914,210.179,1.031
u0_raw[119],-0.713,0.103,-0.913,-0.528,0.01,0.004,98.565,370.652,1.031
u0_raw[120],-0.948,0.112,-1.156,-0.739,0.011,0.004,105.877,346.592,1.025
u0_raw[121],1.038,0.11,0.835,1.239,0.013,0.004,76.058,226.081,1.034
u0_raw[122],-0.908,0.11,-1.109,-0.701,0.011,0.004,102.487,408.506,1.029
u0_raw[123],-1.18,0.111,-1.388,-0.973,0.012,0.004,92.693,345.507,1.028
u0_raw[124],-0.814,0.121,-1.048,-0.598,0.011,0.003,130.555,536.255,1.022
u0_raw[125],1.023,0.11,0.817,1.228,0.012,0.004,83.461,338.659,1.032
u0_raw[126],-0.377,0.098,-0.56,-0.193,0.01,0.004,91.921,262.798,1.035
u0_raw[127],0.003,0.103,-0.194,0.19,0.011,0.004,88.855,320.801,1.033
u0_raw[128],1.647,0.13,1.398,1.877,0.013,0.004,103.504,388.659,1.028
u0_raw[129],0.993,0.107,0.783,1.183,0.012,0.004,76.376,241.184,1.035
u0_raw[130],1.497,0.124,1.271,1.733,0.013,0.004,94.713,337.451,1.029
u0_raw[131],-0.943,0.332,-1.561,-0.306,0.009,0.004,1237.682,3770.484,1.003
u0_raw[132],-0.394,0.73,-1.756,0.964,0.008,0.008,8146.923,5951.579,1.001
u0_raw[133],2.101,0.147,1.824,2.372,0.014,0.005,107.641,346.638,1.024
u0_raw[134],1.426,0.127,1.193,1.66,0.013,0.004,94.065,393.295,1.029
u0_raw[135],-0.255,0.096,-0.437,-0.074,0.01,0.004,91.008,306.176,1.035
u0_raw[136],1.416,0.122,1.185,1.638,0.012,0.004,97.216,395.152,1.028
u0_raw[137],-0.11,0.087,-0.28,0.043,0.01,0.004,73.422,110.765,1.043
u0_raw[138],-1.499,0.135,-1.755,-1.255,0.012,0.004,117.173,345.019,1.02
u0_raw[139],-0.757,0.168,-1.067,-0.446,0.01,0.002,257.614,1277.258,1.011
u0_raw[140],2.07,0.147,1.787,2.336,0.014,0.005,107.771,350.131,1.026
u0_raw[141],-0.953,0.353,-1.61,-0.3,0.007,0.004,2446.446,4649.644,1.002
u0_raw[142],-0.166,0.109,-0.376,0.033,0.01,0.003,112.541,389.197,1.03
u0_raw[143],1.026,0.109,0.818,1.226,0.012,0.004,81.176,286.189,1.032
u0_raw[144],1.815,0.135,1.557,2.056,0.013,0.005,102.537,392.964,1.028
u0_raw[145],-0.772,0.112,-0.982,-0.567,0.011,0.003,113.192,427.581,1.027
u0_raw[146],-1.011,0.115,-1.232,-0.801,0.011,0.004,107.425,403.59,1.024
u0_raw[147],0.107,0.097,-0.079,0.283,0.011,0.004,72.812,185.569,1.036
u0_raw[148],1.342,0.111,1.137,1.546,0.013,0.004,76.126,301.82,1.034
u0_raw[149],-0.607,0.108,-0.809,-0.406,0.01,0.003,111.18,414.487,1.026
u0_raw[150],0.029,0.095,-0.147,0.208,0.011,0.004,79.706,152.622,1.035
u0_raw[151],-0.452,0.094,-0.63,-0.279,0.01,0.004,87.686,292.994,1.036
u0_raw[152],-0.269,0.097,-0.437,-0.076,0.01,0.004,96.206,298.569,1.033
u0_raw[153],0.395,0.099,0.21,0.577,0.011,0.003,76.234,178.411,1.033
u0_raw[154],1.347,0.507,0.381,2.294,0.006,0.005,6902.461,6307.064,1.001
u0_raw[155],-1.399,0.119,-1.619,-1.17,0.012,0.005,98.328,318.253,1.028
u0_raw[156],-1.004,0.112,-1.215,-0.793,0.011,0.004,102.609,389.124,1.028
u0_raw[157],-0.012,0.095,-0.186,0.17,0.011,0.004,77.974,162.925,1.037
u0_raw[158],-1.067,0.114,-1.274,-0.844,0.011,0.004,104.221,435.54,1.027
u0_raw[159],2.967,0.183,2.614,3.297,0.018,0.008,108.895,311.399,1.021
u0_raw[160],1.761,0.134,1.515,2.014,0.013,0.005,104.256,375.398,1.026
u0_raw[161],0.835,0.104,0.648,1.034,0.012,0.004,73.284,195.26,1.033
u0_raw[162],0.075,0.207,-0.315,0.459,0.01,0.003,457.879,2889.388,1.009
u0_raw[163],-0.605,0.107,-0.804,-0.403,0.01,0.003,109.662,485.573,1.028
u0_raw[164],-0.388,0.1,-0.577,-0.204,0.01,0.003,99.756,337.083,1.029
