,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0[83],-0.009,0.02,-0.045,0.029,0.004,0.001,21.352,157.249,1.13
u0[84],-0.054,0.02,-0.089,-0.015,0.004,0.001,21.724,88.569,1.131
u0[85],0.248,0.022,0.206,0.29,0.004,0.001,27.715,226.716,1.097
u0[86],-0.379,0.024,-0.422,-0.332,0.004,0.001,32.199,137.287,1.084
u0[87],-0.055,0.023,-0.097,-0.012,0.004,0.001,28.129,129.189,1.094
u0[88],-0.255,0.022,-0.297,-0.213,0.004,0.001,28.611,290.258,1.095
u0[89],0.159,0.023,0.118,0.203,0.004,0.001,28.286,197.465,1.098
u0[90],0.157,0.022,0.117,0.2,0.004,0.001,25.089,134.625,1.107
u0[91],0.136,0.023,0.092,0.177,0.004,0.001,27.98,174.837,1.096
u0[92],0.35,0.022,0.308,0.391,0.004,0.001,27.065,165.307,1.102
u0[93],0.098,0.043,0.011,0.176,0.004,0.001,121.695,2236.849,1.025
u0[94],-0.371,0.022,-0.413,-0.329,0.004,0.001,28.235,149.068,1.098
u0[95],-0.327,0.022,-0.368,-0.287,0.004,0.001,26.663,131.907,1.103
u0[96],0.333,0.022,0.293,0.374,0.004,0.001,25.437,136.091,1.106
u0[97],0.056,0.022,0.014,0.098,0.004,0.001,26.983,145.202,1.1
u0[98],0.101,0.022,0.059,0.14,0.004,0.001,26.983,150.982,1.101
u0[99],0.145,0.022,0.101,0.185,0.004,0.001,27.985,117.142,1.099
u0[100],-0.074,0.033,-0.136,-0.01,0.004,0.001,77.11,888.758,1.037
u0[101],-0.075,0.023,-0.118,-0.031,0.004,0.001,28.94,209.887,1.093
u0[102],-0.24,0.024,-0.285,-0.196,0.004,0.001,32.969,164.205,1.082
u0[103],-0.033,0.02,-0.071,0.005,0.004,0.001,22.844,106.861,1.125
u0[104],-0.261,0.022,-0.303,-0.22,0.004,0.001,28.221,122.818,1.095
u0[105],-0.01,0.029,-0.062,0.046,0.004,0.001,49.449,358.556,1.057
u0[106],-0.446,0.032,-0.511,-0.39,0.004,0.001,60.39,718.831,1.045
u0[107],0.036,0.022,-0.007,0.078,0.004,0.001,26.194,122.22,1.104
u0[108],0.059,0.023,0.016,0.101,0.004,0.001,28.685,160.552,1.091
u0[109],-0.057,0.022,-0.1,-0.017,0.004,0.001,28.17,187.031,1.097
u0[110],0.386,0.02,0.347,0.423,0.004,0.001,22.841,128.818,1.124
u0[111],-0.193,0.025,-0.239,-0.144,0.004,0.001,35.245,243.325,1.076
