,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[174],1.389,0.123,1.159,1.615,0.008,0.004,213.919,529.223,1.006
u0_raw[175],-0.684,0.108,-0.881,-0.475,0.009,0.003,145.479,591.533,1.026
u0_raw[176],0.04,0.109,-0.16,0.242,0.008,0.002,186.912,640.535,1.015
u0_raw[177],-0.175,0.175,-0.507,0.152,0.008,0.002,475.067,2604.0,1.006
u0_raw[178],1.623,0.132,1.379,1.866,0.009,0.004,226.078,532.213,1.005
u_slope_raw_gpt2_surprisal[0],-0.451,0.779,-1.962,0.939,0.007,0.009,14222.149,5920.789,1.0
u_slope_raw_gpt2_surprisal[1],0.502,0.652,-0.726,1.732,0.006,0.008,13245.718,5628.047,1.001
u_slope_raw_gpt2_surprisal[2],0.266,0.716,-1.065,1.635,0.006,0.009,13770.383,5779.609,1.0
u_slope_raw_gpt2_surprisal[3],-0.887,0.811,-2.403,0.631,0.006,0.011,16800.671,5732.449,1.001
u_slope_raw_gpt2_surprisal[4],-0.512,0.787,-1.988,0.969,0.007,0.01,13332.67,6100.796,1.0
u_slope_raw_gpt2_surprisal[5],-0.028,0.787,-1.413,1.543,0.007,0.01,13184.294,5293.408,1.001
u_slope_raw_gpt2_surprisal[6],-0.035,0.957,-1.898,1.703,0.007,0.013,17623.321,4959.857,1.0
u_slope_raw_gpt2_surprisal[7],-0.325,0.702,-1.609,1.056,0.006,0.009,13775.271,5635.444,1.001
u_slope_raw_gpt2_surprisal[8],-1.009,0.789,-2.384,0.571,0.006,0.01,15606.923,5833.772,1.0
u_slope_raw_gpt2_surprisal[9],0.16,0.981,-1.725,1.949,0.007,0.015,17269.625,5187.211,1.0
u_slope_raw_gpt2_surprisal[10],-0.113,0.822,-1.669,1.404,0.006,0.011,16561.02,5449.886,1.0
u_slope_raw_gpt2_surprisal[11],-0.487,0.806,-1.956,1.048,0.007,0.011,13992.256,5525.342,1.001
u_slope_raw_gpt2_surprisal[12],0.299,0.716,-1.043,1.67,0.006,0.01,14323.316,5505.413,1.0
u_slope_raw_gpt2_surprisal[13],-0.165,0.977,-2.058,1.636,0.008,0.012,14369.925,5750.722,1.001
u_slope_raw_gpt2_surprisal[14],0.108,0.733,-1.285,1.47,0.006,0.01,14065.21,5364.218,1.001
u_slope_raw_gpt2_surprisal[15],-0.296,0.837,-1.867,1.241,0.007,0.01,13631.387,5832.266,1.0
